var,label
mn4ha,Source of folate tablets - Public sector:Government hospital
mn4hb,Source of folate tablets - Public sector:Health centre clinic
mn4hc,Source of folate tablets - Public sector:Village health worker/City health promoter
mn4hd,Source of folate tablets - Public sector:Mobile outrech clinic
mn4he,Source of folate tablets - Public sector:Council facility
mn4hh,Source of folate tablets - Public sector:Other public
mn4hi,Source of folate tablets - Private Medical Sector:Private hospital
mn4hj,Source of folate tablets - Private Medical Sector:Private clinic
mn4hk,Source of folate tablets - Private Medical Sector:Phamacy
mn4ho,Source of folate tablets - Private Medical Sector:Other private medical
mn4ht,Source of folate tablets - Private Medical Sector:Mission facility
mn4hx,Source of folate tablets - Private Medical Sector:Other specify
mn5,Has own immunization card
mn6,Any tetanus toxoid injection during last pregnancy
mn7,Doses of tetanus toxoid during last pregnancy
mn9,Any tetanus toxoid injection before last pregnancy
mn10,Doses of tetanus toxoid before last pregnancy
mn11,Years ago last tetanus toxoid received
mn13,Took medicine in order to prevent malaria
mn14a,Medicines taken to prevent malaria: SP / Fansidar
mn14b,Medicines taken to prevent malaria: Chloroquine
mn14c,Medicines taken to prevent malaria:Coartemether
mn14d,Medicines taken to prevent malaria:Deltaprim
mn14x,Medicines taken to prevent malaria: Other
mn14z,Medicines taken to prevent malaria: DK
mn16,Times took SP / Fansidar
mn17a,Assistance at delivery: Doctor
mn17b,Assistance at delivery: Nurse / Midwife
mn17f,Assistance at delivery: Traditional birth attendant
mn17g,Assistance at delivery: Community health worker
mn17h,Assistance at delivery: Relative / Friend
mn17x,Assistance at delivery: Other
mn17y,Assistance at delivery: No one
mn18,Place of delivery
mn19,Delivery by caesarean section
mn19a,Decision for caesarean made before the onset of labour or after
mn20,Size of child at birth
mn21,Child weighed at birth
mn22a,Weight from card or recall
mn22,Weight at birth (Kilograms)
mn23,Menstrual period returned since the birth of child
mn24,Ever breastfeed
mn25u,Time baby put to breast (unit)
mn25n,Time baby put to breast (number)
mn26,"Within first 3 days after delivery, child given anything to drink other than breast milk"
mn27a,Child given to drink - Milk (other than breast milk)
mn27b,Child given to drink - Plain water
mn27c,Child given to drink - Sugar or glucose water
mn27d,Child given to drink - Gripe water
mn27e,Child given to drink - Sugar - salt - water solution
mn27f,Child given to drink - Fruit juice
mn27g,Child given to drink - Infant formula
mn27h,Child given to drink - Tea / Infusions
mn27i,Child given to drink - Honey
mn27x,Child given to drink - Other
mn3b_doctor,ANC visits: Doctor
mn3b_nurse,ANC visits: Nurse/midwife
mn3b_traditional,ANC visits: Traditional
mn3b_village,ANC visits: Village health worker/City health promoters
mn3b_other,ANC visits: Other
pn2u,Duration of staying in the health facility (unit)
pn2n,Duration of staying in the health facility (number)
pn3,Baby's health checked before leaving health facility
pn4,Mother's health checked before leaving health facility
pn5,Baby's health checked after leaving health facility
pn7,Baby checked after the delivery was over
pn8,Mother checked after the delivery was over
pn9,Additional baby check after the delivery
pn10,Baby checked after the delivery
pn11,Number of times baby was checked
pn12u,How long after delivery did the first check of baby happen (unit)
pn12n,How long after delivery did the first check of baby happen (number)
pn13a,Person checking on baby's health: Doctor
pn13b,Person checking on baby's health: Nurse / Midwife
pn13f,Person checking on baby's health: Traditional birth attendant
pn13g,Person checking on baby's health: Community health worker
pn13h,Person checking on baby's health: Relative / Friend
pn13x,Person checking on baby's health: Other
pn14,Place where baby's health was checked
pn16,Mother's health checked after leaving health facility
pn18,Mother's health checked after the delivery was over
pn19,Mother's health checked after the birth of the baby
pn20,Number of times mother's health was checked after the birth
pn21u,How long after delivery did the first check of mother happen (unit)
pn21n,How long after delivery did the first check of mother happen (number)
pn22a,Person checking on mother's health: Doctor
pn22b,Person checking on mother's health: Nurse / Midwife
pn22f,Person checking on mother's health: Traditional birth attendant
pn22g,Person checking on mother's health: Community health worker
pn22h,Person checking on mother's health: Relative / Friend
pn22x,Person checking on mother's health: Other
pn23,Place where mother's health was checked
is2a,Symptoms: Child not able to drink or breastfeed
is2b,Symptoms: Child becomes sicker
is2c,Symptoms: Child develops a fever
is2d,Symptoms: Child has fast breathing
is2e,Symptoms: Child has difficulty breathing
is2f,Symptoms: Child has blood in stools
is2g,Symptoms: Child is drinking poorly
is2h,Symptoms: Child has convulsions
is2i,Symptoms: Child becomes unconscious
is2j,Symptoms: Child has diarrhoea
is2x,Symptoms: Other
is2y,Symptoms: Other
is2z,Symptoms: Other
cp1,Currently pregnant
cp2,Currently using a method to avoid pregnancy
cp2a,Ever used a method to avoid pregnancy
cp3a,Current method: Female sterilization
cp3b,Current method: Male sterilization
cp3c,Current method: IUD
cp3d,Current method: Injectables
cp3e,Current method: Implants
cp3f,Current method: Pill
cp3g,Current method: Male condom
cp3h,Current method: Female condom
cp3i,Current method: Diaphragm
cp3j,Current method: Foam / Jelly
cp3k,Current method: Lactational amenorrhoea method (LAM)
cp3l,Current method: Periodic abstinence / Rhythm
cp3m,Current method: Withdrawal
cp3x,Current method: Other
un2,Wanted to get pregnant at the time
un3,Wanted baby later or did not want more children
un4,Would like to have another child (currently pregnant)
un6,Would like to have another child (not currently pregnant)
un7u,Desired waiting time (unit)
un7n,Desired waiting time (number)
un10,Able to get pregnant
un11a,Reason: Infrequent sex / No sex
un11b,Reason: Menopausal
un11c,Reason: Never menstruated
un11d,Reason: Hysterectomy
un11e,Reason: Trying to get pregnant for 2 years without result
un11f,Reason: Postpartum amenorrheic
un11g,Reason: Breastfeeding
un11h,Reason: Too old
un11i,Reason: Fatalistic
un11x,Reason: Other
un11z,Reason: Don't know
un13u,Start of last menstrual period (unit)
un13n,Start of last menstrual period (number)
dv1a,If she goes out with out telling husband: wife beating justified
dv1b,If she neglects the children: wife beating justified
dv1c,If she argues with husband: wife beating justified
dv1d,If she refuses sex with husband: wife beating justified
dv1e,If she burns the food: wife beating justified
dv1f,Commits infidelity
ma1,Currently married or living with a man
ma2,Age of husband/partner
ma3,Husband/partner has other wives
ma4,Number of other wives
ma5,Ever married or lived with a man
ma6,Marital status
ma7,Married or lived with a man once or more than once
ma8m,Month of first union
ma8y,Year of first union
ma9,Age at first union
ma8c,Date of first union (CMC)
ma8f,Date flag for MA8C
ma9c,Age at first union (calculated)
sb1,Age at first sexual intercourse
sb2,Condom used during first sexual intercourse
sb3u,Time since last sexual intercourse (unit)
sb3n,Time since last sexual intercourse (number)
sb4,Condom used at last sexual intercourse
sb5,Relationship to last sexual partner
sb7,Age of last sexual partner
sb8,Sex with any other man in the last 12 month
sb9,Condom used with prior sexual partner
sb10,Relationship to prior sexual partner
sb12,Age of prior sexual partner
sb13,Sex with any other man in the last 12 months
sb14,Number of sex partners in last 12 months
sb15,Number of sex partners in lifetime
ha1,Ever heard of AIDS
ha2,Can avoid AIDS virus by having one uninfected partner
ha3,Can get AIDS virus through supernatural means
ha4,Can avoid AIDS virus by using a condom correctly every time
ha5,Can get AIDS virus from mosquito bites
ha6,Can get AIDS virus by sharing food with a person who has AIDS
ha7,Healthy-looking person may have AIDS virus
ha8a,AIDS virus from mother to child during pregnancy
ha8b,AIDS virus from mother to child during delivery
ha8c,AIDS virus from mother to child through breastfeeding
ha9,Should female teacher with AIDS virus be allowed to teach in school
ha10,Would buy fresh vegetables from shopkeeper with AIDS virus
ha11,"If HH member became infected with AIDS virus, would want it to remain a secret"
ha12,Willing to care for person with AIDS in household
ha15a,Given information about AIDS virus during antenatal care visit: AIDS from mother
ha15b,Given information about AIDS virus during antenatal care visit: Things to do
ha15c,Given information about AIDS virus during antenatal care visit: Tested for AIDS
ha15d,Given information about AIDS virus during antenatal care visit: Offered a test
ha16,Tested for AIDS virus as part of antenatal care
ha17,Received results from test during antenatal care
ha18,Received consultation after testing during antenatal care
ha20,Tested for AIDS virus during delivery
ha21,Received results from test during delivery
ha22,Tested for AIDS virus since test during pregnancy
ha23,Most recent time of testing for AIDS virus
ha24,Ever been tested for AIDS virus
ha25,Most recent time of testing for AIDS virus
ha26,Received results of AIDS virus test
ha27,Know a place to get AIDS virus test
mm1,Number of births to natural mother
mm3,Number of preceding births
ta1,Ever tried cigarette smoking
ta2,Age when cigarette was smoked for the first time
ta3,Currently smoking cigarettes
ta4,Number of cigarettes smoked in the last 24 hours
ta5,Number of days when cigarettes were smoked in past month
ta6,Ever tried any smoked tobacco products other than cigarettes
ta7,Used any smoked tobacco products during the last month
ta8a,Type of smoked tobacco product: Cigars
ta8b,Type of smoked tobacco product: Water pipe
ta8c,Type of smoked tobacco product: Cigarillos
ta8d,Type of smoked tobacco product: Pipe
ta8e,Type of smoked tobacco product: Rolled tobacco
ta8x,Type of smoked tobacco product: Other
ta9,Number of days when tobacco products where smoked in past month
ta10,Ever tried any form of smokeless tobacco products
ta11,Used any smokeless tobacco products during the last month
ta12a,Type of smokeless tobacco product used: Chewing tobacco
ta12b,Type of smokeless tobacco product used: Snuff
ta12c,Type of smokeless tobacco product used: Dip
ta12x,Type of smokeless tobacco product used: Other
ta13,Number of days when smokeless tobacco products where used in past month
ta14,Ever drunk alcohol
ta15,Age when alcohol was used for the first time
ta16,Number of days when at least one drink of alcohol was used in past month
ta17,Number of drinks usually consumed
tnln,Net number
tn4,Mosquito net observed
tn5,Brand/type of observed net
tn6,Months ago net obtained
tn8,Net treated with an insecticide when obtained
tn9,Net soaked or dipped since obtained
tn10,Months ago net soaked or dipped
tn11,Persons slept under mosquito net last night
tn12_1,Person 1 who slept under net
tn12_2,Person 2 who slept under net
tn12_3,Person 3 who slept under net
tn12_4,Person 4 who slept under net
hh6,Area
hh7,Province
cm2m,Month of first birth
cm2y,Year of first birth
cm3,Years since first birth
wdoi,Date of interview women (CMC)
wage,Age
wdob,Date of birth of woman (CMC)
wdom,Date of marriage (CMC)
wagem,Age at first marriage/union
wdobfc,Date of birth of first child (CMC)
wdoblc,Date of birth of last child (CMC)
mstatus,Marital/Union status
ceb,Children ever born
csurv,Children surviving
cdead,Children dead
welevel,Education
wmweight,Women's sample weight
wscore,Combined wealth score
windex5,Wealth index quintile
wscoreu,Urban wealth score
windex5u,Urban wealth index quintile
wscorer,Rural wealth score
windex5r,Rural wealth index quintile
